STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV20
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",12/10/2005,18.79,144,,0.08,0,0,,57,53,,40,30,0,28,32,1,,,,,,,1,,,,1,1,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",13/10/2005,15.66,1305,,1.06,0,0,,61,55,,60,50,0,21.9,28,1,,,,,,,,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",14/10/2005,12.53,2138,,3.46,0,0,,63,58,,70,60,0,17.9,23.9,1,,,,,,,,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",15/10/2005,13.65,2130,,4.38,0,0,,64,53,,300,310,0,21.9,33.1,1,,,,,,,,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",16/10/2005,18.57,1243,,0,0,0,,64,50,,280,290,0,36.9,45,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",17/10/2005,13.2,520,,0,0,0,,61,47,,300,290,0,23.9,34.9,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",18/10/2005,8.28,1358,,0.01,0,0,,67,43,,280,280,0,21.9,29.1,,,,,,,,,,,,,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",19/10/2005,8.5,1339,,0,0,0,,66,45,,200,210,0,19.9,23,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",20/10/2005,8.72,24,,0,0,0,,58,44,,320,320,0,17.9,23,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",21/10/2005,4.03,1207,,0,0,0,,56,37,,320,330,0,13,16.1,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",22/10/2005,8.28,2016,,0.9,0,0,,49,36,,70,70,0,17.9,23.9,1,,,,,,,,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",23/10/2005,10.51,422,,0.19,0,0,,50,44,,10,10,0,21,25.1,1,,,,,,,,,,,1,1,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",24/10/2005,8.95,2329,,0.13,0,0,,50,37,,50,50,0,17.9,21,1,,,,,,,,,,,1,1,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",25/10/2005,20.58,1517,,1.57,0,0,,51,41,,40,30,0,34.9,44.1,1,,,,,,,,,,,1,1,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",26/10/2005,12.3,1337,,0,0,0,,51,39,,320,330,0,25.9,36,1,,,,,,,,,,,1,1,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",27/10/2005,6.93,956,,0,0,0,,50,36,,360,290,0,14.1,16.1,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",28/10/2005,9.17,1838,,0,0,0,,46,40,,20,10,0,15,17.9,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",29/10/2005,10.29,731,,0.31,0,0,,46,36,,20,20,0,17.9,21.9,1,,,,,,,,,,,1,,,1,,1,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",30/10/2005,9.4,1035,,0,0,0,,68,39,,320,320,0,17.9,25.1,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",31/10/2005,7.16,1346,,0,0,0,,70,40,,250,250,0,15,17,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",01/11/2005,10.29,1358,,0,0,0,,70,40,,210,210,0,25.1,32,1,,,,,,,,,,,1,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",02/11/2005,10.29,1426,,0,0,0,,59,42,,320,310,0,21.9,28,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",03/11/2005,12.3,1326,,0,0,0,,62,33,,220,230,0,30,38.9,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",04/11/2005,7.16,1452,,0,0,0,,66,44,,190,190,0,17,21,1,,,,,,,,,,,1,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",05/11/2005,4.03,1507,,0,0,0,,73,44,,240,230,0,13,16.1,1,,,,,,,1,,,,1,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",06/11/2005,7.16,2211,,0.1,0,0,,62,55,,210,220,0,21.9,28,1,,1,,,,,1,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",07/11/2005,8.95,1328,,0,0,0,,62,40,,290,300,0,25.1,34.9,,,,,,,,,,,,,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",08/11/2005,8.05,1401,,0,0,0,,61,40,,280,290,0,17,21.9,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",09/11/2005,10.29,2348,,0.24,0,0,,60,38,,190,200,0,21.9,25.9,1,,1,,,,,,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",10/11/2005,11.41,1729,,0.6,0,0,,62,35,,310,300,0,28,36,1,,1,,,,,,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",11/11/2005,8.72,1101,,0,0,0,,45,31,,310,320,0,19.9,23.9,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",12/11/2005,4.47,956,,0,0,0,,53,27,,360,360,0,15,17,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",13/11/2005,9.62,1212,,0,0,0,,61,33,,200,230,0,21,23.9,1,,,,,,,,,,,1,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",14/11/2005,9.4,1121,,0,0,0,,68,42,,290,310,0,19.9,23.9,,,,,,,,,,,,,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",15/11/2005,3.58,842,,0.07,0,0,,56,37,,50,50,0,10.1,12.1,1,,,,,,,,,,,1,1,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",16/11/2005,17,2041,,0.24,0,0,,68,50,,210,200,0,30,40.9,1,,,,,,,,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",17/11/2005,9.62,1707,,0.25,0,0,,50,34,,320,320,0,21,23.9,1,,,,,,,,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",18/11/2005,8.28,922,,0,0,0,,41,30,,330,320,0,19.9,23.9,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",19/11/2005,3.58,1517,,0,0,0,,45,24,,200,250,0,14.1,21.9,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",20/11/2005,8.95,1537,,0,0,0,,58,30,,240,240,0,19.9,23,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",21/11/2005,6.93,1448,,0.18,0,0,,57,35,,210,210,0,15,17.9,1,,,,,,,,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",22/11/2005,13.42,1941,,2.06,0,0,,50,35,,310,310,0,23,30,1,,1,,,,,,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",23/11/2005,10.29,757,,0,0,0,,35,24,,310,290,0,21.9,25.1,,,,,,,,,,,,,,,,,1,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",24/11/2005,9.17,2247,,0.5,2,1,,45,26,,290,280,0,29.1,38,1,1,,1,,,,,,,,1,,,1,,1,,,1,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",25/11/2005,9.17,457,,0,0,0,,34,22,,280,280,0,21,25.9,,,,,,,,,,,,,,,,,1,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",26/11/2005,2.46,1425,,0,0,0,,39,20,,250,250,0,10.1,13,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",27/11/2005,3.58,1744,,0,0,0,,47,34,,50,50,0,8.9,12.1,,,,,,,,,,,,,1,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",28/11/2005,5.14,1248,,0.01,0,0,,57,40,,170,180,0,12.1,14.1,1,,,,,,,1,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",29/11/2005,12.08,1346,,0.01,0,0,,60,52,,180,180,0,19.9,25.1,1,,,,,,,,,,,1,1,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",30/11/2005,12.97,1242,,1.34,0,0,,60,47,,190,170,0,21.9,29.1,1,,,,,,,,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",01/12/2005,9.84,1022,,0,0,0,,49,39,,10,10,0,19.9,23,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",02/12/2005,16.11,2330,,0,0,0,,44,34,,280,280,0,28,36,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",03/12/2005,13.65,1023,,0,0,0,,38,29,,300,310,0,25.9,36.9,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",04/12/2005,6.71,247,,0.19,1.6,0,,31,26,,270,280,0,14.1,16.1,1,,,,,1,,,,,,1,,,1,1,1,,,1,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",05/12/2005,4.7,27,,0,0,1,,33,21,,280,280,0,12.1,13,,,,,,,,,,,,,,,,,1,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",06/12/2005,8.28,1226,,0.04,0.7,1,,37,24,,360,350,0,17,21,1,,,,,,,,,,,1,,,,,1,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",07/12/2005,13.42,1923,,0,0,1,,31,20,,310,290,0,25.9,36,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",08/12/2005,8.05,57,,0,0,0,,35,19,,310,320,0,17.9,23,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",09/12/2005,10.29,1406,,1.3,3.8,1,,39,22,,320,320,0,36,47,1,1,,1,,,,,1,,,1,,,1,,1,,,1,1
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",10/12/2005,8.72,1459,,0,0,3,,37,21,,220,220,0.4,17,19.9,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",11/12/2005,6.71,1133,,0,0,2,,42,22,,250,250,0.5,16.1,19.9,1,,,,,,,,,,,1,,,,,,,1,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",12/12/2005,6.26,1842,,0,0,1,,41,23,,330,330,0,17,21.9,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",13/12/2005,11.41,1906,,0,0,1,,25,14,,360,360,0,19.9,25.1,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",14/12/2005,8.5,1209,,0,0,1,,25,10,,10,10,0,17.9,21,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",15/12/2005,3.36,2349,,0,0,1,,32,10,,60,80,0,8.9,12.1,,,,,,,,,,,,,,,1,,1,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",16/12/2005,12.08,1132,,1.07,0.5,1,,51,30,,150,150,0,31.1,40.9,1,1,,1,,1,,,,,,1,,1,1,1,,,1,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",17/12/2005,6.04,1211,,0,0,0,,40,25,,280,310,0,14.1,17.9,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",18/12/2005,4.47,1442,,0,0,0,,35,23,,270,260,0,13,15,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",19/12/2005,7.38,1508,,0,0,0,,35,22,,290,300,0,17.9,23,1,,,,,,,,,,,1,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",20/12/2005,10.96,1315,,0,0,0,,34,21,,290,280,0,17,23,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",21/12/2005,6.93,2359,,0,0,0,,31,20,,280,280,0,14.1,17,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",22/12/2005,8.05,2332,,0,0,0,,36,20,,250,260,0,16.1,21.9,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",23/12/2005,8.28,1141,,0,0,0,,46,34,,280,270,0,17,19.9,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",24/12/2005,5.37,1238,,0,0,0,,53,31,,270,310,0,12.1,15,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",25/12/2005,2.91,2354,,0.54,0,0,,53,27,,170,190,0,17,21,1,,,,,,,1,,,,1,,,1,,,,1,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",26/12/2005,8.5,8,,0.45,0,0,,54,38,,180,180,0,23,29.1,1,1,,,,,,,,,,1,1,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",27/12/2005,12.97,455,,0,0,0,,44,28,,330,320,0,25.9,36.9,,,,,,,,,,,,,,,,,1,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",28/12/2005,5.82,1140,,0,0,0,,45,24,,240,240,0,16.1,17.9,1,,,,,,,,,,,1,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",29/12/2005,7.16,1636,,0.58,0,0,,52,41,,180,180,0,15,17.9,1,,,,,,,,,,,1,1,,1,,,,1,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",30/12/2005,12.08,1143,,0,0,0,,49,30,,330,310,0,28,34.9,1,1,,,,,,,,,,1,1,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",31/12/2005,5.82,2359,,0.17,2.2,0,,35,26,,20,10,0,10.1,14.1,1,,,,,,,,,,,1,,,,,1,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",01/01/2006,5.59,449,621,0.04,0.8,1,,33,27,,360,10,0,14.1,16.1,1,,,,,,,,,,,1,,,,,1,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",02/01/2006,4.03,2156,2254,0.17,0.6,1,,42,31,,110,80,0,10.1,13,1,,,,,,,,,,,1,,,1,,1,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",03/01/2006,16.11,1435,1435,0.89,2.6,1,,36,31,,40,40,0,25.9,33.1,1,1,,1,,,,,,,,,,,1,,1,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",04/01/2006,12.08,14,109,0,0,1,,34,28,,20,10,0,23.9,29.1,1,,,,,,,,,,,1,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",05/01/2006,3.36,1506,1506,0.03,0.1,0,,41,31,,270,270,0,16.1,17.9,1,,,1,,,,,,,,,1,,1,,1,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",06/01/2006,6.04,2258,2315,0,0,0,,39,29,,310,300,0,16.1,19.9,1,,,,,,,,,,,1,,,,,,,1,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",07/01/2006,7.16,120,117,0,0,0,,33,23,,310,310,0,15,17.9,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",08/01/2006,3.13,1228,1314,0.01,0,0,,40,23,,270,280,0,14.1,16.1,1,,,,,,,1,,,,1,,,1,,1,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",09/01/2006,7.16,1530,2230,0,0,0,,57,27,,250,300,0,17,21,1,,,,,,,1,,,,1,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",10/01/2006,6.71,1200,1159,0,0,0,,47,29,,320,310,0,16.1,19.9,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",11/01/2006,6.26,2318,2313,0.07,0,0,,57,30,,210,230,0,29.1,36,1,1,,,,,,,,,,1,1,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",12/01/2006,9.84,2356,2355,0.12,0,0,,55,36,,220,210,0,28,32,1,,,,,,,,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",13/01/2006,5.37,959,958,0,0,0,,50,30,,200,200,0,15,16.1,1,1,,,,,,,,,,1,1,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",14/01/2006,11.86,1036,1040,1.05,0,0,,57,47,,190,190,0,28,32,1,,,,,,,,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",15/01/2006,20.58,1446,1433,0.49,0,0,,46,12,,330,330,0,31.1,45,1,,,,,,,,1,,,,1,,1,,1,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",16/01/2006,14.32,1526,1438,0,0,0,,31,8,,300,280,0,21.9,30,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",17/01/2006,6.71,905,904,0,0,0,,42,22,,360,10,0,14.1,16.1,,,,1,,,,,,,,,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",18/01/2006,25.05,1308,1304,0.95,0,0,,58,36,,240,230,0,36,46.1,1,,,,,,,,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",19/01/2006,10.96,1011,1010,0,0,0,,44,32,,270,260,0,21.9,29.1,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",20/01/2006,8.72,1238,1238,0,0,0,,58,36,,250,260,0,21.9,28,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",21/01/2006,12.3,1838,1820,0,0,0,,59,37,,310,320,0,31.1,38.9,,,,,,,,,,,,,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",22/01/2006,5.82,147,23,0,0,0,,41,30,,320,330,0,17,23,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",23/01/2006,7.83,1416,1415,0.8,2.8,1,,37,32,,10,10,0,19.9,25.1,1,,,1,,,,,,,,,1,,1,,1,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",24/01/2006,5.14,1643,1643,0,0,2,,41,27,,220,220,0,14.1,16.1,1,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",25/01/2006,8.5,1310,1309,0.08,0,0,,45,32,,300,310,0,21,25.1,1,,,,,,,,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",26/01/2006,15.43,1412,1539,0,0,0,,40,26,,350,360,0,23,29.1,,,,,,,,,,,,,,,,,1,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",27/01/2006,10.51,2357,2356,0,0,0,,41,22,,330,330,0,19.9,25.9,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",28/01/2006,9.62,1501,1341,0,0,0,,55,33,,300,280,0,17,23.9,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",29/01/2006,6.93,2020,2006,0.32,0,0,,52,31,,240,250,0,21,28,1,,,,,,,,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",30/01/2006,8.72,2254,2244,0,0,0,,50,36,,20,10,0,15,17.9,1,,,,,,,,,,,1,1,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",31/01/2006,15.66,1741,1740,0.09,0,0,,41,31,,10,10,0,25.9,32,1,,,1,,,,,,,,,1,,1,,1,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",01/02/2006,7.38,1022,1019,0,0,0,,44,31,,350,330,0,17.9,23.9,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",02/02/2006,5.14,1524,1325,0,0,0,,48,28,,180,210,0,15,19.9,1,,,,,,,,,,,1,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",03/02/2006,9.84,1322,1321,1.4,0,0,,55,39,,200,200,0,29.1,36,1,,,,,,,,,,,1,1,,1,,,,,,
